NUTS2_code,process,season,day_type,hour,load,temperature
NL32,shw_residential,0.0,1,7,4526.47,
NL32,shw_residential,0.0,1,8,8794.28,
NL32,shw_residential,0.0,1,9,13450.1,
NL32,shw_residential,0.0,1,10,15778.0,
NL32,shw_residential,0.0,1,11,14743.3,
NL32,shw_residential,0.0,1,12,12932.7,
NL32,shw_residential,0.0,1,13,11898.1,
NL32,shw_residential,0.0,1,14,12932.7,
NL32,shw_residential,0.0,1,15,11639.5,
NL32,shw_residential,0.0,1,16,11122.2,
NL32,shw_residential,0.0,1,17,11639.5,
NL32,shw_residential,0.0,1,18,14743.3,
NL32,shw_residential,0.0,1,19,18105.9,
NL32,shw_residential,0.0,1,20,18105.9,
NL32,shw_residential,0.0,1,21,15260.7,
NL32,shw_residential,0.0,1,22,11380.8,
NL32,shw_residential,0.0,1,23,7759.65,
NL32,shw_residential,0.0,1,24,5690.41,
NL32,shw_residential,0.0,2,1,3362.52,
NL32,shw_residential,0.0,2,2,1810.59,
NL32,shw_residential,0.0,2,3,775.967,
NL32,shw_residential,0.0,2,4,0.0,
NL32,shw_residential,0.0,2,5,129.328,
NL32,shw_residential,0.0,2,6,387.983,
NL32,shw_residential,0.0,2,7,2457.22,
NL32,shw_residential,0.0,2,8,5949.06,
NL32,shw_residential,0.0,2,9,12156.8,
NL32,shw_residential,0.0,2,10,17588.5,
NL32,shw_residential,0.0,2,11,21468.4,
NL32,shw_residential,0.0,2,12,21468.4,
NL32,shw_residential,0.0,2,13,19399.1,
NL32,shw_residential,0.0,2,14,15260.6,
NL32,shw_residential,0.0,2,15,11639.5,
NL32,shw_residential,0.0,2,16,8018.29,
NL32,shw_residential,0.0,2,17,6983.69,
NL32,shw_residential,0.0,2,18,7242.34,
NL32,shw_residential,0.0,2,19,8794.26,
NL32,shw_residential,0.0,2,20,9828.86,
NL32,shw_residential,0.0,2,21,9052.9,
NL32,shw_residential,0.0,2,22,8794.26,
NL32,shw_residential,0.0,2,23,6725.03,
NL32,shw_residential,0.0,2,24,4914.45,
NL32,shw_residential,1.0,0,1,3093.28,
NL32,shw_residential,1.0,0,2,1286.22,
NL32,shw_residential,1.0,0,3,255.128,
NL32,shw_residential,1.0,0,4,513.783,
NL32,shw_residential,1.0,0,5,1803.53,
NL32,shw_residential,1.0,0,6,6973.1,
NL32,shw_residential,1.0,0,7,14991.4,
NL32,shw_residential,1.0,0,8,19647.2,
NL32,shw_residential,1.0,0,9,18871.2,
NL32,shw_residential,1.0,0,10,14474.1,
NL32,shw_residential,1.0,0,11,11887.6,
NL32,shw_residential,1.0,0,12,11111.6,
NL32,shw_residential,1.0,0,13,10852.9,
NL32,shw_residential,1.0,0,14,10852.9,
NL32,shw_residential,1.0,0,15,9818.32,
NL32,shw_residential,1.0,0,16,8783.7,
NL32,shw_residential,1.0,0,17,7749.07,
NL32,shw_residential,1.0,0,18,11370.2,
NL32,shw_residential,1.0,0,19,13698.1,
NL32,shw_residential,1.0,0,20,16284.7,
NL32,shw_residential,1.0,0,21,13439.5,
NL32,shw_residential,1.0,0,22,13439.5,
NL32,shw_residential,1.0,0,23,10335.6,
NL32,shw_residential,1.0,0,24,8007.72,
NL32,shw_residential,1.0,1,1,5426.46,
NL32,shw_residential,1.0,1,2,2845.21,
NL32,shw_residential,1.0,1,3,1551.93,
NL32,shw_residential,1.0,1,4,775.965,
NL32,shw_residential,1.0,1,5,1034.62,
NL32,shw_residential,1.0,1,6,1810.58,
NL32,shw_residential,1.0,1,7,3103.86,
NL32,shw_residential,1.0,1,8,8276.95,
NL32,shw_residential,1.0,1,9,17071.2,
NL32,shw_residential,1.0,1,10,24054.9,
NL32,shw_residential,1.0,1,11,24313.6,
NL32,shw_residential,1.0,1,12,20951.0,
NL32,shw_residential,1.0,1,13,19916.4,
NL32,shw_residential,1.0,1,14,21468.4,
NL32,shw_residential,1.0,1,15,20433.8,
NL32,shw_residential,1.0,1,16,20692.4,
NL32,shw_residential,1.0,1,17,23020.3,
NL32,shw_residential,1.0,1,18,27417.5,
NL32,shw_residential,1.0,1,19,28969.4,
NL32,shw_residential,1.0,1,20,24572.2,
NL32,shw_residential,1.0,1,21,17071.2,
NL32,shw_residential,1.0,1,22,10346.2,
NL32,shw_residential,1.0,1,23,6725.03,
NL32,shw_residential,1.0,1,24,6207.72,
NL32,shw_residential,1.0,2,1,5173.1,
NL32,shw_residential,1.0,2,2,4138.48,
NL32,shw_residential,1.0,2,3,2845.21,
NL32,shw_residential,1.0,2,4,1293.28,
NL32,shw_residential,1.0,2,5,1034.62,
NL32,shw_residential,1.0,2,6,775.965,
NL32,shw_residential,1.0,2,7,2327.9,
NL32,shw_residential,1.0,2,8,8276.95,
NL32,shw_residential,1.0,2,9,17329.9,
NL32,shw_residential,1.0,2,10,27676.1,
NL32,shw_residential,1.0,2,11,30004.0,
NL32,shw_residential,1.0,2,12,29228.0,
NL32,shw_residential,1.0,2,13,24830.9,
NL32,shw_residential,1.0,2,14,21468.4,
NL32,shw_residential,1.0,2,15,15519.3,
NL32,shw_residential,1.0,2,16,10346.2,
NL32,shw_residential,1.0,2,17,8276.95,
NL32,shw_residential,1.0,2,18,10346.2,
NL32,shw_residential,1.0,2,19,13967.4,
NL32,shw_residential,1.0,2,20,14484.7,
NL32,shw_residential,1.0,2,21,13708.7,
NL32,shw_residential,1.0,2,22,13191.4,
NL32,shw_residential,1.0,2,23,10863.5,
NL32,shw_residential,1.0,2,24,8014.79,
NL32,shw_residential,2.0,0,1,2969.25,
NL32,shw_residential,2.0,0,2,1160.42,
NL32,shw_residential,2.0,0,3,450.883,
NL32,shw_residential,2.0,0,4,580.211,
NL32,shw_residential,2.0,0,5,1742.4,
NL32,shw_residential,2.0,0,6,5943.77,
NL32,shw_residential,2.0,0,7,12410.1,
NL32,shw_residential,2.0,0,8,16290.0,
NL32,shw_residential,2.0,0,9,16160.7,
NL32,shw_residential,2.0,0,10,12539.5,
NL32,shw_residential,2.0,0,11,10340.9,
NL32,shw_residential,2.0,0,12,9306.3,
NL32,shw_residential,2.0,0,13,9435.61,
NL32,shw_residential,2.0,0,14,9564.93,
NL32,shw_residential,2.0,0,15,8788.99,
NL32,shw_residential,2.0,0,16,7754.37,
NL32,shw_residential,2.0,0,17,7107.73,
NL32,shw_residential,2.0,0,18,9176.95,
NL32,shw_residential,2.0,0,19,11634.2,
NL32,shw_residential,2.0,0,20,13444.8,
NL32,shw_residential,2.0,0,21,12280.8,
NL32,shw_residential,2.0,0,22,11763.5,
NL32,shw_residential,2.0,0,23,9435.6,
NL32,shw_residential,2.0,0,24,6978.38,
NL32,shw_residential,2.0,1,1,4556.15,
NL32,shw_residential,2.0,1,2,2133.91,
NL32,shw_residential,2.0,1,3,1228.61,
NL32,shw_residential,2.0,1,4,452.647,
NL32,shw_residential,2.0,1,5,711.302,
NL32,shw_residential,2.0,1,6,1745.92,
NL32,shw_residential,2.0,1,7,3815.17,
NL32,shw_residential,2.0,1,8,8535.62,
NL32,shw_residential,2.0,1,9,15260.7,
NL32,shw_residential,2.0,1,10,19916.4,
NL32,shw_residential,2.0,1,11,19528.4,
NL32,shw_residential,2.0,1,12,16941.8,
NL32,shw_residential,2.0,1,13,15907.2,
NL32,shw_residential,2.0,1,14,17200.6,
NL32,shw_residential,2.0,1,15,16036.7,
NL32,shw_residential,2.0,1,16,15907.3,
NL32,shw_residential,2.0,1,17,17329.9,
NL32,shw_residential,2.0,1,18,21080.4,
NL32,shw_residential,2.0,1,19,23537.7,
NL32,shw_residential,2.0,1,20,21339.1,
NL32,shw_residential,2.0,1,21,16166.0,
NL32,shw_residential,2.0,1,22,10863.5,
NL32,shw_residential,2.0,1,23,7242.34,
NL32,shw_residential,2.0,1,24,5949.06,
NL32,shw_residential,2.0,2,1,4267.81,
NL32,shw_residential,2.0,2,2,2974.53,
NL32,shw_residential,2.0,2,3,1810.59,
NL32,shw_residential,2.0,2,4,646.64,
NL32,shw_residential,2.0,2,5,581.974,
NL32,shw_residential,2.0,2,6,581.974,
NL32,shw_residential,2.0,2,7,2392.56,
NL32,shw_residential,2.0,2,8,7113.0,
NL32,shw_residential,2.0,2,9,14743.3,
NL32,shw_residential,2.0,2,10,22632.3,
NL32,shw_residential,2.0,2,11,25736.2,
NL32,shw_residential,2.0,2,12,25348.2,
NL32,shw_residential,2.0,2,13,22115.0,
NL32,shw_residential,2.0,2,14,18364.5,
NL32,shw_residential,2.0,2,15,13579.4,
NL32,shw_residential,2.0,2,16,9182.25,
NL32,shw_residential,2.0,2,17,7630.32,
NL32,shw_residential,2.0,2,18,8794.27,
NL32,shw_residential,2.0,2,19,11380.8,
NL32,shw_residential,2.0,2,20,12156.8,
NL32,shw_residential,2.0,2,21,11380.8,
NL32,shw_residential,2.0,2,22,10992.8,
NL32,shw_residential,2.0,2,23,8794.26,
NL32,shw_residential,2.0,2,24,6464.62,
